[0.000000] (-) TimerEvent: {}
[0.000912] (autonomous_robot_description) JobQueued: {'identifier': 'autonomous_robot_description', 'dependencies': OrderedDict()}
[0.181251] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//config/joint_controller.yaml\n'}
[0.181405] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//config/mapper_params_online_async.yaml\n'}
[0.185479] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//config/nav2_params.yaml\n'}
[0.186643] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//config/joystick.yaml\n'}
[0.187181] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//config/my_robot.lua\n'}
[0.188034] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//config/twist_mux.yaml\n'}
[0.189782] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//config/ekf.yaml\n'}
[0.192059] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch\n'}
[0.200666] (-) TimerEvent: {}
[0.201332] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/__pycache__\n'}
[0.202005] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/__pycache__/navigation_cartographer.cpython-310.pyc\n'}
[0.202476] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/sim_gazebo.launch.py\n'}
[0.203082] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/navigation_launch.py\n'}
[0.204103] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/build\n'}
[0.204693] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/build/COLCON_IGNORE\n'}
[0.204796] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/build/.built_by\n'}
[0.204895] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/online_async_launch.py\n'}
[0.204982] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/occupancy_grid.launch.py\n'}
[0.205097] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/localization_AMCL_launch.py\n'}
[0.206726] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/log\n'}
[0.206836] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/log/build_2024-12-11_18-41-05\n'}
[0.206924] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/log/build_2024-12-11_18-41-05/events.log\n'}
[0.207011] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/log/build_2024-12-11_18-41-05/logger_all.log\n'}
[0.207093] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/log/COLCON_IGNORE\n'}
[0.207199] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/log/latest\n'}
[0.207306] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/log/latest_build\n'}
[0.208384] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/localization_cartographer.launch.py\n'}
[0.209070] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/real_robot.launch.py\n'}
[0.209171] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/cartographer.launch.py\n'}
[0.209268] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/cartographer_navigation.launch.py\n'}
[0.209352] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/install\n'}
[0.209431] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/install/setup.ps1\n'}
[0.209506] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/install/setup.zsh\n'}
[0.210874] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/install/local_setup.sh\n'}
[0.210980] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/install/_local_setup_util_ps1.py\n'}
[0.211062] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/install/COLCON_IGNORE\n'}
[0.211138] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/install/.colcon_install_layout\n'}
[0.211223] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/install/setup.sh\n'}
[0.211306] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/install/setup.bash\n'}
[0.211380] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/install/local_setup.zsh\n'}
[0.211452] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/install/local_setup.ps1\n'}
[0.211524] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/install/local_setup.bash\n'}
[0.211607] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/install/_local_setup_util_sh.py\n'}
[0.211682] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//launch/ekf.launch.py\n'}
[0.211753] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//rviz\n'}
[0.211827] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//rviz/urdf_config.rviz\n'}
[0.211905] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf\n'}
[0.211972] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/autonomous_robot_gazebo.xacro\n'}
[0.212507] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/ros2_control.xacro\n'}
[0.212667] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/lidar.xacro\n'}
[0.212778] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/autonomous_robot.urdf.xacro\n'}
[0.212889] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/imu.xacro\n'}
[0.212983] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/build\n'}
[0.213078] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/build/COLCON_IGNORE\n'}
[0.213178] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/build/.built_by\n'}
[0.213272] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/log\n'}
[0.213367] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/log/build_2024-10-10_22-18-31\n'}
[0.213514] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/log/build_2024-10-10_22-18-31/events.log\n'}
[0.213675] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/log/build_2024-10-10_22-18-31/logger_all.log\n'}
[0.214666] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/log/COLCON_IGNORE\n'}
[0.214811] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/log/latest\n'}
[0.214909] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/log/latest_build\n'}
[0.215014] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/gazebo_color.xacro\n'}
[0.215144] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/mobile_robot.xacro\n'}
[0.215236] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/common_properties.xacro\n'}
[0.215317] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/install\n'}
[0.215402] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/install/setup.ps1\n'}
[0.215500] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/install/setup.zsh\n'}
[0.215600] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/install/local_setup.sh\n'}
[0.215783] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/install/_local_setup_util_ps1.py\n'}
[0.215891] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/install/COLCON_IGNORE\n'}
[0.215999] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/install/.colcon_install_layout\n'}
[0.219165] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/install/setup.sh\n'}
[0.219328] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/install/setup.bash\n'}
[0.219428] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/install/local_setup.zsh\n'}
[0.219526] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/install/local_setup.ps1\n'}
[0.219648] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/install/local_setup.bash\n'}
[0.219734] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/install/_local_setup_util_sh.py\n'}
[0.219823] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description//urdf/camera.xacro\n'}
[0.219926] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/ament_index/resource_index/package_run_dependencies/autonomous_robot_description\n'}
[0.220046] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/ament_index/resource_index/parent_prefix_path/autonomous_robot_description\n'}
[0.220141] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description/environment/ament_prefix_path.sh\n'}
[0.220223] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description/environment/ament_prefix_path.dsv\n'}
[0.220300] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description/environment/path.sh\n'}
[0.220379] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description/environment/path.dsv\n'}
[0.220464] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description/local_setup.bash\n'}
[0.220547] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description/local_setup.sh\n'}
[0.220814] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description/local_setup.zsh\n'}
[0.220922] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description/local_setup.dsv\n'}
[0.221014] (autonomous_robot_description) StdoutLine: {'line': b'-- Installing: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description/package.dsv\n'}
[0.221098] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/ament_index/resource_index/packages/autonomous_robot_description\n'}
[0.221185] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description/cmake/autonomous_robot_descriptionConfig.cmake\n'}
[0.221275] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description/cmake/autonomous_robot_descriptionConfig-version.cmake\n'}
[0.221357] (autonomous_robot_description) StdoutLine: {'line': b'-- Up-to-date: /home/tamir/autonomous_robot/autonomous_robot_description/install/autonomous_robot_description/share/autonomous_robot_description/package.xml\n'}
[0.221445] (autonomous_robot_description) CommandEnded: {'returncode': 0}
[0.288720] (autonomous_robot_description) JobEnded: {'identifier': 'autonomous_robot_description', 'rc': 0}
[0.291338] (-) EventReactorShutdown: {}
